Datum von:;="01.03.2025"
Datum bis:;="31.03.2025"
Kategorie:;="Alle"
Konto:;="CH2409000000157777331"
Währung:;="CHF"

Datum;Bewegungstyp;Avisierungstext;Gutschrift in CHF;Lastschrift in CHF;Label;Kategorie
30.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 30.03.2025 KARTEN NR. XXXX4821 MIGROS CITY TAKE AWAY (6624) BASEL SCHWEIZ";;-3.9;;Freizeit // Gastronomie
30.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 30.03.2025 KARTEN NR. XXXX4821 BYRO BASEL SCHWEIZ";;-15;;Leben // Sonstiges Leben
30.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 30.03.2025 KARTEN NR. XXXX4821 BYRO BASEL SCHWEIZ";;-36.8;;Leben // Sonstiges Leben
29.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 29.03.2025 KARTEN NR. XXXX4821 BÄCKEREI HUG OLTEN SCHWEIZ";;-8.5;;Einkaufen // Detail-Lebensmittel
29.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 29.03.2025 KARTEN NR. XXXX4821 MIGROS M RIVERSIDE (7741) ZUG SCHWEIZ";;-2.9;;Einkaufen // Supermärkte
29.03.2025;Buchung;"LASTSCHRIFT CH6330000011998877665 SUNRISE GMBH POSTFACH 8050 ZURICH";;-49.6;;Wohnen // Kommunikation
28.03.2025;Buchung;"KAUF/ONLINE-SHOPPING VOM 28.03.2025 KARTEN NR. XXXX4821 TRANSPORTS PUBLICS FRIBOURGEOIS (FAIRTIQ) N/A PAYMENT ID 250328064754083058ZX BESTELLNUMMER QWE9AWE5JCNXFN05A3";;-34.3;;Mobilität // Öffentlicher Verkehr
28.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 28.03.2025 KARTEN NR. XXXX4821 SUMUP *BACKEREI ZUR K THUN SCHWEIZ";;-11.1;;Einkaufen // Detail-Lebensmittel
28.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 28.03.2025 KARTEN NR. XXXX4821 KKIOSK 45810 BERN SCHWEIZ";;-7.1;;Einkaufen // Sonstiges Einkaufen
28.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 28.03.2025 KARTEN NR. XXXX4821 BAHNHOF APOTHEKE AG BERN SCHWEIZ";;-24.4;;Leben // Gesundheit
28.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 28.03.2025 KARTEN NR. XXXX4821 BÄCKEREI HUG OLTEN SCHWEIZ";;-8.1;;Einkaufen // Detail-Lebensmittel
28.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 28.03.2025 KARTEN NR. XXXX4821 MIGROS M RIVERSIDE (7741) ZUG SCHWEIZ";;-28.35;;Einkaufen // Supermärkte
27.03.2025;Buchung;"KAUF/ONLINE-SHOPPING VOM 27.03.2025 KARTEN NR. XXXX4821 APPLE.COM/BILL CORK";;-2;;Wohnen // Kommunikation
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 YOOJI'S ROSENGARTEN BIEL SCHWEIZ";;-6.9;;Freizeit // Gastronomie
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 CONFISERIE SPRÜNGLI AG LUZERN SCHWEIZ";;-22.05;;Einkaufen // Detail-Lebensmittel
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 THE BODY SHOP LAUSANNE SCHWEIZ";;-24.95;;Leben // Styling und Wellness
27.03.2025;Buchung;"KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 YOOJI'S ROSENGARTEN BIEL SCHWEIZ";;-11.9;;Freizeit // Gastronomie
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 YOOJI'S ROSENGARTEN BIEL SCHWEIZ";;-43.5;;Freizeit // Gastronomie
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 COFFEE AND PLANTS BIEL SCHWEIZ";;-10;;Freizeit // Gastronomie
27.03.2025;Buchung;"BARGELDBEZUG VOM 27.03.2025 KARTEN NR. XXXX4821 EINKAUFSZENTRUM METROPOLE BIEL";;-80;;Finanzen // Bargeldbezug
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 YUMIHANA FRIBOURG SCHWEIZ";;-18.55;;Einkaufen // Detail-Lebensmittel
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 YUMI HANA FRIBOURG SCHWEIZ";;-26.8;;Einkaufen // Detail-Lebensmittel
27.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 27.03.2025 KARTEN NR. XXXX4821 COOP - 7811 QUAI WEST BERN SCHWEIZ";;-7.75;;Freizeit // Gastronomie
26.03.2025;Buchung;"KAUF/ONLINE-SHOPPING VOM 26.03.2025 KARTEN NR. XXXX4821 TRANSPORTS PUBLICS FRIBOURGEOIS (FAIRTIQ) N/A PAYMENT ID 250326064915818975ZX BESTELLNUMMER ZUNCTYVS45RXNGTQIH";;-62.6;;Mobilität // Öffentlicher Verkehr
26.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 26.03.2025 KARTEN NR. XXXX4821 JUMBO-7782 INDUSTRIEPARK WINTERTHUR SCHWEIZ";;-10.9;;Wohnen // Haushalt
26.03.2025;Buchung;"TWINT GELD SENDEN VOM 26.03.2025 VON TELEFON-NR. +41795555111 AN TELEFON-NR. +41796666222 KEBAB, IMBISS MITTEILUNGEN: KEBAB";;-14;;Freizeit // Gastronomie
26.03.2025;Buchung;"LASTSCHRIFT DAUERAUFTRAG: 90-33445566 CH3409000000802999554 FAMILIENKASSE MUSTERHAUSEN SENDER REFERENZ: FAMILIENZULAGE";;-200;;Leben // Familie
25.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 25.03.2025 KARTEN NR. XXXX4821 BÄCKEREI HUG OLTEN SCHWEIZ";;-6.1;;Einkaufen // Detail-Lebensmittel
25.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 25.03.2025 KARTEN NR. XXXX4821 BRANKOVIC BREZELSTUBE THUN SCHWEIZ";;-4.3;;Einkaufen // Detail-Lebensmittel
25.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 25.03.2025 KARTEN NR. XXXX4821 MIGROS M RIVERSIDE (7741) ZUG SCHWEIZ";;-10.35;;Einkaufen // Supermärkte
25.03.2025;Buchung;"GUTSCHRIFT AUFTRAGGEBER: ALPENWERK AG INDUSTRIESTRASSE 12 CH-5430 WETTINGEN AG MITTEILUNGEN: SALAER MAERZ 2025 REFERENZEN: SALA80E5ED528784F48B451A4175649C112 9988776655/1XXXX 250325CH7LMNQRTS";6966.35;;;Einkommen
25.03.2025;Buchung;"GUTSCHRIFT CH6709000000400099001 ABSENDER: MEDICURA PLUS AG GESUNDHEITSWEG 8 4052 BASEL MITTEILUNGEN: LEISTUNGSABRECHNUNG NR.: 700112233445566 VERSICHERTE PERSON 445566 BETRIFFT LEISTUNGEN REFERENZEN: MED95CB11F8253446278F81749F26F10588";1787.95;;;Überträge
24.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 24.03.2025 KARTEN NR. XXXX4821 WAKARA GMBH SURSEE SCHWEIZ";;-27.6;;Einkaufen // Detail-Lebensmittel
24.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 24.03.2025 KARTEN NR. XXXX4821 THE BODY SHOP GENEVE SCHWEIZ";;-4.95;;Leben // Styling und Wellness
24.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 24.03.2025 KARTEN NR. XXXX4821 COOP-5510 RIVERSIDE REST. LUZERN SCHWEIZ";;-44;;Einkaufen // Supermärkte
24.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 24.03.2025 KARTEN NR. XXXX4821 MIGROS MARKTHALLE (8812) SOLOTHURN SCHWEIZ";;-53.5;;Einkaufen // Supermärkte
24.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 24.03.2025 KARTEN NR. XXXX4821 MIGROS CITY TAKE AWAY (6624) BASEL SCHWEIZ";;-6.8;;Freizeit // Gastronomie
24.03.2025;Buchung;"LASTSCHRIFT CH1830000001400099001 MEDICURA PLUS AG GESUNDHEITSWEG 8 4052 BASEL";;-77.45;;Leben // Gesundheit
23.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 23.03.2025 KARTEN NR. XXXX4821 BÄCKEREI HUG OLTEN SCHWEIZ";;-17.3;;Einkaufen // Detail-Lebensmittel
23.03.2025;Buchung;"APPLE PAY KAUF/DIENSTLEISTUNG VOM 23.03.2025 KARTEN NR. XXXX4821 MANOR AG - 771 (CENTRA) BERN SCHWEIZ";;-23.95;;Überträge
23.03.2025;Buchung;"TWINT GELD SENDEN VOM 23.03.2025 VON TELEFON-NR. +41795555111 AN TELEFON-NR. +41796666222 KEBAB, IMBISS";;-13.5;;Freizeit // Gastronomie
